Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
additionalcompression:compressed_cobblestone:8, Nonuple Compressed Cobblestone
additionalcompression:compressed_cobblestone:9, Decuple Compressed Cobblestone
additionalcompression:compressed_stone:0, Single Compressed Stone
additionalcompression:compressed_stone:1, Double Compressed Stone
additionalcompression:compressed_stone:2, Triple Compressed Stone
additionalcompression:compressed_stone:3, Quadruple Compressed Stone
additionalcompression:compressed_stone:4, Quintuple Compressed Stone
additionalcompression:compressed_stone:5, Sextuple Compressed Stone
additionalcompression:compressed_stone:6, Septuple Compressed Stone
additionalcompression:compressed_stone:7, Octuple Compressed Stone
additionalcompression:compressed_stone:8, Nonuple Compressed Stone
additionalcompression:compressed_stone:9, Decuple Compressed Stone
additionalcompression:compressed_gravel:2, Triple Compressed Gravel
additionalcompression:compressed_gravel:3, Quadruple Compressed Gravel
additionalcompression:compressed_gravel:4, Quintuple Compressed Gravel
additionalcompression:compressed_gravel:5, Sextuple Compressed Gravel
additionalcompression:compressed_gravel:6, Septuple Compressed Gravel
additionalcompression:compressed_gravel:7, Octuple Compressed Gravel
additionalcompression:compressed_gravel:8, Nonuple Compressed Gravel
additionalcompression:compressed_gravel:9, Decuple Compressed Gravel
additionalcompression:compressed_blocksand:2, Triple Compressed Sand
additionalcompression:compressed_blocksand:3, Quadruple Compressed Sand
additionalcompression:compressed_blocksand:4, Quintuple Compressed Sand
additionalcompression:compressed_blocksand:5, Sextuple Compressed Sand
additionalcompression:compressed_blocksand:6, Septuple Compressed Sand
additionalcompression:compressed_blocksand:7, Octuple Compressed Sand
additionalcompression:compressed_blocksand:8, Nonuple Compressed Sand
additionalcompression:compressed_blocksand:9, Decuple Compressed Sand
additionalcompression:compressed_dirt:4, Quintuple Compressed Dirt
additionalcompression:compressed_dirt:5, Sextuple Compressed Dirt
additionalcompression:compressed_dirt:6, Septuple Compressed Dirt
additionalcompression:compressed_dirt:7, Octuple Compressed Dirt
additionalcompression:compressed_dirt:8, Nonuple Compressed Dirt
additionalcompression:compressed_dirt:9, Decuple Compressed Dirt
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
additionalcompression:compressed_clay:0, Single Compressed Clay
additionalcompression:compressed_clay:1, Double Compressed Clay
additionalcompression:compressed_clay:2, Triple Compressed Clay
additionalcompression:compressed_clay:3, Quadruple Compressed Clay
additionalcompression:compressed_clay:4, Quintuple Compressed Clay
additionalcompression:compressed_clay:5, Sextuple Compressed Clay
additionalcompression:compressed_clay:6, Septuple Compressed Clay
additionalcompression:compressed_clay:7, Octuple Compressed Clay
additionalcompression:compressed_clay:8, Nonuple Compressed Clay
additionalcompression:compressed_clay:9, Decuple Compressed Clay
additionalcompression:compressed_cobblestonemossy:0, Single Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:1, Double Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:2, Triple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:3, Quadruple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:4, Quintuple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:5, Sextuple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:6, Septuple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:7, Octuple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:8, Nonuple Compressed Mossy Cobblestone
additionalcompression:compressed_cobblestonemossy:9, Decuple Compressed Mossy Cobblestone
additionalcompression:compressed_netherrack:0, Single Compressed Netherrack
additionalcompression:compressed_netherrack:1, Double Compressed Netherrack
additionalcompression:compressed_netherrack:2, Triple Compressed Netherrack
additionalcompression:compressed_netherrack:3, Quadruple Compressed Netherrack
additionalcompression:compressed_netherrack:4, Quintuple Compressed Netherrack
additionalcompression:compressed_netherrack:5, Sextuple Compressed Netherrack
additionalcompression:compressed_netherrack:6, Septuple Compressed Netherrack
additionalcompression:compressed_netherrack:7, Octuple Compressed Netherrack
additionalcompression:compressed_netherrack:8, Nonuple Compressed Netherrack
additionalcompression:compressed_netherrack:9, Decuple Compressed Netherrack
additionalcompression:compressed_soulsand:0, Single Compressed Soul Sand
additionalcompression:compressed_soulsand:1, Double Compressed Soul Sand
additionalcompression:compressed_soulsand:2, Triple Compressed Soul Sand
additionalcompression:compressed_soulsand:3, Quadruple Compressed Soul Sand
additionalcompression:compressed_soulsand:4, Quintuple Compressed Soul Sand
additionalcompression:compressed_soulsand:5, Sextuple Compressed Soul Sand
additionalcompression:compressed_soulsand:6, Septuple Compressed Soul Sand
additionalcompression:compressed_soulsand:7, Octuple Compressed Soul Sand
additionalcompression:compressed_soulsand:8, Nonuple Compressed Soul Sand
additionalcompression:compressed_soulsand:9, Decuple Compressed Soul Sand
additionalcompression:compressed_endstone:0, Single Compressed End Stone
additionalcompression:compressed_endstone:1, Double Compressed End Stone
additionalcompression:compressed_endstone:2, Triple Compressed End Stone
additionalcompression:compressed_endstone:3, Quadruple Compressed End Stone
additionalcompression:compressed_endstone:4, Quintuple Compressed End Stone
additionalcompression:compressed_endstone:5, Sextuple Compressed End Stone
additionalcompression:compressed_endstone:6, Septuple Compressed End Stone
additionalcompression:compressed_endstone:7, Octuple Compressed End Stone
additionalcompression:compressed_endstone:8, Nonuple Compressed End Stone
additionalcompression:compressed_endstone:9, Decuple Compressed End Stone
additionalcompression:compressed_cropwheat:1, Double Compressed Wheat
additionalcompression:compressed_cropwheat:2, Triple Compressed Wheat
additionalcompression:compressed_croppotato:0, Single Compressed Potatoes
additionalcompression:compressed_croppotato:1, Double Compressed Potatoes
additionalcompression:compressed_croppotato:2, Triple Compressed Potatoes
additionalcompression:compressed_cropcarrot:0, Single Compressed Carrots
additionalcompression:compressed_cropcarrot:1, Double Compressed Carrots
additionalcompression:compressed_cropcarrot:2, Triple Compressed Carrots
additionalcompression:compressed_cropmelon:1, Double Compressed Melon
additionalcompression:compressed_cropmelon:2, Triple Compressed Melon
additionalcompression:compressed_cropapple:0, Single Compressed Apples
additionalcompression:compressed_cropapple:1, Double Compressed Apples
additionalcompression:compressed_cropapple:2, Triple Compressed Apples
additionalcompression:compressed_cropsugarcane:0, Single Compressed Sugar Cane
additionalcompression:compressed_cropsugarcane:1, Double Compressed Sugar Cane
additionalcompression:compressed_cropsugarcane:2, Triple Compressed Sugar Cane
additionalcompression:compressed_cropsugarcane:3, Quadruple Compressed Sugar Cane
additionalcompression:compressed_cropsugarcane:4, Quintuple Compressed Sugar Cane
additionalcompression:compressed_cropnetherwart:0, Single Compressed Nether Wart
additionalcompression:compressed_cropnetherwart:1, Double Compressed Nether Wart
additionalcompression:compressed_cropnetherwart:2, Triple Compressed Nether Wart
additionalcompression:compressed_meatporkchop:0, Single Compressed Porkchop
additionalcompression:compressed_meatporkchop:1, Double Compressed Porkchop
additionalcompression:compressed_meatporkchop:2, Triple Compressed Porkchop
additionalcompression:compressed_meatbeef:0, Single Compressed Beef
additionalcompression:compressed_meatbeef:1, Double Compressed Beef
additionalcompression:compressed_meatbeef:2, Triple Compressed Beef
additionalcompression:compressed_meatchicken:0, Single Compressed Chicken
additionalcompression:compressed_meatchicken:1, Double Compressed Chicken
additionalcompression:compressed_meatchicken:2, Triple Compressed Chicken
additionalcompression:compressed_meatfish:0, Single Compressed Fish
additionalcompression:compressed_meatfish:1, Double Compressed Fish
additionalcompression:compressed_meatfish:2, Triple Compressed Fish
additionalcompression:compressed_meatrotten:0, Single Compressed Rotten Flesh
additionalcompression:compressed_meatrotten:1, Double Compressed Rotten Flesh
additionalcompression:compressed_meatrotten:2, Triple Compressed Rotten Flesh
additionalcompression:compressed_meatrotten:3, Quadruple Compressed Rotten Flesh
additionalcompression:compressed_meatrotten:4, Quintuple Compressed Rotten Flesh
additionalcompression:compressed_bone:0, Single Compressed Bones
additionalcompression:compressed_bone:1, Double Compressed Bones
additionalcompression:compressed_bone:2, Triple Compressed Bones
additionalcompression:compressed_spidereye:0, Single Compressed Spider Eyes
additionalcompression:compressed_spidereye:1, Double Compressed Spider Eyes
additionalcompression:compressed_spidereye:2, Triple Compressed Spider Eyes
additionalcompression:compressed_feather:0, Single Compressed Feathers
additionalcompression:compressed_feather:1, Double Compressed Feathers
additionalcompression:compressed_feather:2, Triple Compressed Feathers
additionalcompression:compressed_leather:0, Single Compressed Leather
additionalcompression:compressed_leather:1, Double Compressed Leather
additionalcompression:compressed_leather:2, Triple Compressed Leather
additionalcompression:compressed_rodblaze:0, Single Compressed Blaze
additionalcompression:compressed_rodblaze:1, Double Compressed Blaze
additionalcompression:compressed_rodblaze:2, Triple Compressed Blaze
additionalcompression:compressed_pearlender:0, Single Compressed Ender Pearl
additionalcompression:compressed_pearlender:1, Double Compressed Ender Pearl
additionalcompression:compressed_pearlender:2, Triple Compressed Ender Pearl
additionalcompression:compressed_dustgunpowder:0, Single Compressed Gunpowder
additionalcompression:compressed_dustgunpowder:1, Double Compressed Gunpowder
additionalcompression:compressed_dustgunpowder:2, Triple Compressed Gunpowder
additionalcompression:compressed_dustsugar:0, Single Compressed Sugar
additionalcompression:compressed_dustsugar:1, Double Compressed Sugar
additionalcompression:compressed_dustsugar:2, Triple Compressed Sugar
additionalcompression:compressed_egg:0, Single Compressed Eggs
additionalcompression:compressed_egg:1, Double Compressed Eggs
additionalcompression:compressed_egg:2, Triple Compressed Eggs
additionalcompression:compressed_egg:3, Quadruple Compressed Eggs
additionalcompression:compressed_egg:4, Quintuple Compressed Eggs
additionalcompression:compressed_logwood:0, Single Compressed Wood
additionalcompression:compressed_logwood:1, Double Compressed Wood
additionalcompression:compressed_logwood:2, Triple Compressed Wood
additionalcompression:compressed_ingotiron:1, Double Compressed Iron
additionalcompression:compressed_ingotiron:2, Triple Compressed Iron
additionalcompression:compressed_ingotgold:1, Double Compressed Gold
additionalcompression:compressed_ingotgold:2, Triple Compressed Gold
additionalcompression:compressed_gemlapis:1, Double Compressed Lapis Lazuli
additionalcompression:compressed_gemlapis:2, Triple Compressed Lapis Lazuli
additionalcompression:compressed_dustredstone:1, Double Compressed Redstone
additionalcompression:compressed_dustredstone:2, Triple Compressed Redstone
additionalcompression:compressed_gemdiamond:1, Double Compressed Diamond
additionalcompression:compressed_gemdiamond:2, Triple Compressed Diamond
additionalcompression:compressed_gememerald:1, Double Compressed Emerald
additionalcompression:compressed_gememerald:2, Triple Compressed Emerald
additionalcompression:compressed_itemnetherstar, %s Nether Star
additionalcompression:compressed_cookie, %s Cookies
additionalcompression:compressed_bread, %s Bread
additionalcompression:compressed_bottlewater, %s Water Bottles
additionalcompression:compressed_bucketlava, %s Lava Buckets
IC2:blockOreCopper, ic2.blockOreCopper.name
IC2:blockOreTin, ic2.blockOreTin.name
IC2:blockOreUran, ic2.blockOreUran.name
IC2:blockOreLead, ic2.blockOreLead.name
IC2:blockRubWood, ic2.blockRubWood.name
IC2:blockRubLeaves, ic2.blockRubLeaves.name
IC2:blockRubSapling, ic2.blockRubSapling.name
IC2:blockHarz, ic2.blockHarz.name
IC2:blockRubber, ic2.blockRubber.name
IC2:blockFenceIron, ic2.blockFenceIron.name
IC2:blockAlloy, ic2.blockAlloy.name
IC2:blockBasalt, ic2.blockBasalt.name
IC2:blockAlloyGlass, ic2.blockAlloyGlass.name
IC2:blockDoorAlloy, tile.blockDoorAlloy.name
IC2:blockReinforcedFoam, ic2.blockReinforcedFoam.name
IC2:blockFoam, ic2.blockFoam.name
IC2:blockWall, ic2.blockWall.name
IC2:blockScaffold, ic2.blockScaffold.name
IC2:blockIronScaffold, ic2.blockIronScaffold.name
IC2:blockMetal:0, ic2.blockMetalCopper
IC2:blockMetal:1, ic2.blockMetalTin
IC2:blockMetal:2, ic2.blockMetalBronze
IC2:blockMetal:3, ic2.blockMetalUranium
IC2:blockMetal:4, ic2.blockMetalLead
IC2:blockMetal:5, ic2.blockMetalAdvIron
IC2:blockCable, ic2.blockCable.name
IC2:blockKineticGenerator:0, ic2.blockWindKineticGenerator
IC2:blockKineticGenerator:1, ic2.blockSteamKineticGenerator
IC2:blockKineticGenerator:2, ic2.blockElectricKineticGenerator
IC2:blockKineticGenerator:3, ic2.blockManualKineticGenerator
IC2:blockKineticGenerator:4, ic2.blockWaterKineticGenerator
IC2:blockKineticGenerator:5, ic2.blockStirlingKineticGenerator
IC2:blockHeatGenerator:0, ic2.blockSolidHeatGenerator
IC2:blockHeatGenerator:1, ic2.blockFluidHeatGenerator
IC2:blockHeatGenerator:2, ic2.blockRTHeatGenerator
IC2:blockHeatGenerator:3, ic2.blockElectricHeatGenerator
IC2:blockGenerator:0, ic2.blockGenerator
IC2:blockGenerator:1, ic2.blockGeoGenerator
IC2:blockGenerator:2, ic2.blockWaterGenerator
IC2:blockGenerator:3, ic2.blockSolarGenerator
IC2:blockGenerator:4, ic2.blockWindGenerator
IC2:blockGenerator:5, ic2.blockNuclearReactor
IC2:blockGenerator:6, ic2.blockRTGenerator
IC2:blockGenerator:7, ic2.blockSemifluidGenerator
IC2:blockGenerator:8, ic2.blockStirlingGenerator
IC2:blockGenerator:9, ic2.blockKineticGenerator
IC2:blockReactorChamber, ic2.blockReactorChamber.name
IC2:blockReactorFluidPort, ic2.blockReactorFluidPort.name
IC2:blockReactorAccessHatch, ic2.blockReactorAccessHatch.name
IC2:blockReactorRedstonePort, ic2.blockReactorRedstonePort.name
IC2:blockreactorvessel, ic2.blockreactorvessel.name
IC2:blockElectric:3, ic2.blockTransformerLV
IC2:blockElectric:4, ic2.blockTransformerMV
IC2:blockElectric:5, ic2.blockTransformerHV
IC2:blockElectric:6, ic2.blockTransformerEV
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockMachine:0, ic2.blockMachine
IC2:blockMachine:1, ic2.blockIronFurnace
IC2:blockMachine:2, ic2.blockElecFurnace
IC2:blockMachine:3, ic2.blockMacerator
IC2:blockMachine:4, ic2.blockExtractor
IC2:blockMachine:5, ic2.blockCompressor
IC2:blockMachine:6, ic2.blockCanner
IC2:blockMachine:7, ic2.blockMiner
IC2:blockMachine:8, ic2.blockPump
IC2:blockMachine:9, ic2.blockMagnetizer
IC2:blockMachine:10, ic2.blockElectrolyzer
IC2:blockMachine:11, ic2.blockRecycler
IC2:blockMachine:12, ic2.blockAdvMachine
IC2:blockMachine:13, ic2.blockInduction
IC2:blockMachine:14, ic2.blockMatter
IC2:blockMachine:15, ic2.blockTerra
IC2:blockMachine2:0, ic2.blockTeleporter
IC2:blockMachine2:1, ic2.blockTesla
IC2:blockMachine2:2, ic2.blockCropmatron
IC2:blockMachine2:3, ic2.blockCentrifuge
IC2:blockMachine2:4, ic2.blockMetalFormer
IC2:blockMachine2:5, ic2.blockOreWashingPlant
IC2:blockMachine2:6, ic2.blockPatternStorage
IC2:blockMachine2:7, ic2.blockScanner
IC2:blockMachine2:8, ic2.blockReplicator
IC2:blockMachine2:9, ic2.blockSolidCanner
IC2:blockMachine2:10, ic2.blockFluidBottler
IC2:blockMachine2:11, ic2.blockAdvMiner
IC2:blockMachine2:12, ic2.blockLiquidHeatExchanger
IC2:blockMachine2:13, ic2.blockFermenter
IC2:blockMachine2:14, ic2.blockFluidRegulator
IC2:blockMachine2:15, ic2.blockCondenser
IC2:blockMachine3:0, ic2.blockSteamGenerator
IC2:blockMachine3:1, ic2.blockBlastFurnace
IC2:blockMachine3:2, ic2.blockBlockCutter
IC2:blockMachine3:3, ic2.blockSolarDestiller
IC2:blockMachine3:4, ic2.blockFluidDistributor
IC2:blockMachine3:5, ic2.blockSortingMachine
IC2:blockMachine3:6, ic2.blockItemBuffer
IC2:blockMachine3:7, ic2.blockCropHavester
IC2:blockMachine3:8, ic2.blockLathe
IC2:blockLuminatorDark, ic2.blockLuminatorDark.name
IC2:blockLuminator, ic2.blockLuminator.name
IC2:blockMiningPipe, ic2.blockMiningPipe.name
IC2:blockMiningTip, ic2.blockMiningTip.name
